file,line_number,paper_output,study,estimation_call,reporting_call,category,se_type_actually_reported,notes
clean_replication/Dataverse_files/study1.R,46 (est); 47 (rep),Figure 3 (model behind panel); console output,1,"model1<- glm (support ~ treat*imm_1, data=df, family=""binomial"")","summ(model1, robust=TRUE)",A,Robust HC3 (jtools::summ default when robust=TRUE),"stated: section header '##Figure 3##' at L44. jtools::summ accepts robust and prints 'Standard errors: Robust, type = HC3' (verified, jtools 2.3.0)."
clean_replication/Dataverse_files/study1.R,46 (est); 55-56 (rep),"Figure 3, top panel",1,"model1<- glm (support ~ treat*imm_1, data=df, family=""binomial"")","pred<-interact_plot(model1, pred = imm_1, modx = treat, interval = FALSE, colors = colors)",D,None displayed,"stated: '##Figure 3##' at L44. interval = FALSE means no confidence bands are drawn, so no SEs are reported in this panel. interactions::interact_plot does have a robust argument; it is not used."
clean_replication/Dataverse_files/study1.R,"46 (est); 76-81, 87 (rep)","Figure 3, bottom panel (conditional ATE)",1,"model1<- glm (support ~ treat*imm_1, data=df, family=""binomial"")","model1 %>% margins(at = list(imm_1 = seq(0, 10, by = 1))) %>% summary ... geom_errorbar(aes(ymax = (AME-SE*1.645), ymin = (AME+SE*1.645)))",C,Classical (model-based) delta-method SEs,stated: '##Figure 3##' at L44. margins::margins.lm/glm default is vcov = stats::vcov(model) (verified in installed margins). No robust argument anywhere in the estimation or the margins call. Error bars are +/-1.645*SE.
clean_replication/Dataverse_files/study1.R,46 (est); 260-263 (rep),Figure A6,1,"model1<- glm (support ~ treat*imm_1, data=df, family=""binomial"")","lineartest<- interact_plot(model1, pred=imm_1, modx=treat, interval=TRUE, linearity.check = TRUE, ...)",C,Classical (model-based) SEs,"stated: '###FIGURES A6 & A7###' at L259 and ggsave(""FigureA6.png"") at L266. interval=TRUE so bands are drawn; robust is NOT passed to interact_plot. (Note: the subtitle at L265 says 'Continuous outcome linear regression model' but model1 is the binomial glm - labels for A6/A7 appear swapped.)"
clean_replication/Dataverse_files/study1.R,103 (est); 104 (rep),"Figure 4, left panel (model behind panel); console output",1,"modelsub1<- lm (support ~ treat, data=proimm)","summ(modelsub1, robust=TRUE)",A,Robust HC3,stated: '##FIGURE 4##' at L101.
clean_replication/Dataverse_files/study1.R,103 (est); 117-119 (rep),"Figure 4, left panel",1,"modelsub1<- lm (support ~ treat, data=proimm)","proimmplot<- effect_plot(model = modelsub1, pred = treat, robust=TRUE, cat.geom=""point"", cat.interval.geom=""linerange"", ..., int.width = .90)",A,Robust HC3 (90% intervals),"stated: '##FIGURE 4##' at L101. jtools::effect_plot has a formal 'robust' argument (verified TRUE, jtools 2.3.0), so the request is honoured. The printed ATE label 'ATE=-.06*' at L133 is a hard-coded annotation, not computed."
clean_replication/Dataverse_files/study1.R,107 (est); 108 (rep),"Figure 4, right panel (model behind panel); console output",1,"modelsub2<- lm (support ~ treat, data=noproimm)","summ(modelsub2, robust=TRUE)",A,Robust HC3,stated: '##FIGURE 4##' at L101.
clean_replication/Dataverse_files/study1.R,107 (est); 140-142 (rep),"Figure 4, right panel",1,"modelsub2<- lm (support ~ treat, data=noproimm)","noproimmplot<- effect_plot(model = modelsub2, pred = treat, robust=TRUE, cat.geom=""point"", cat.interval.geom=""linerange"", ..., int.width = .90)",A,Robust HC3 (90% intervals),stated: '##FIGURE 4##' at L101. Hard-coded label 'ATE=.10**' at L156.
clean_replication/Dataverse_files/study1.R,176 (est); 180 (rep),Table A7,1,"models2 [['Model 1']] <-lm (support ~ treat, data=df)","modelsummary(models2, star=c('*'=.1, ""**""=.05, ""***""=.01), output=""latex"")",C,Classical OLS SEs,stated: '##TABLE A7##' at L174 and ReadMe.pdf. NO robust argument appears anywhere - not in the lm() calls and not in the modelsummary() call. There is nothing here that could have been 'conflated'.
clean_replication/Dataverse_files/study1.R,177 (est); 180 (rep),Table A7,1,"models2 [['Model 2']] <-lm (support ~ treat*imm_1, data=df)","modelsummary(models2, star=c('*'=.1, ""**""=.05, ""***""=.01), output=""latex"")",C,Classical OLS SEs,stated: '##TABLE A7##' at L174 and ReadMe.pdf. NO robust argument appears anywhere - not in the lm() calls and not in the modelsummary() call. There is nothing here that could have been 'conflated'.
